,attribute:pa_leo-title,parent_sku,stock,regular_price
231,LOOKING FOR ALEXANDER (DVD) (FRENCH),10011351,1,0
232,BEFORE THEY WERE KINGS: VOL 1 (DVD),10011352,1,0
233,"UP SERIES, THE DISC 6: 49 UP (DVD)",10012120,1,0
234,WONDERS OF AUSTRALIA'S...COAST (DVD),10011353,1,0
235,CHLORINE: A POOL SKATING DOCUMENTARY,10011354,1,0
236,KINGDOM HOSPITAL: BEGINNING (DVD),10011355,1,0
237,HENRY ROLLINS: TALKING FROM THE BOX (DVD,10011356,1,0
238,SEX AND THE CITY ESSENTIALS: BREAKUPS(DV,10011357,1,0
239,MARY POPPINS * (DVD),10011358,1,0
240,HOW WE GOT TO NOW 1.2  (DVD),10011337,1,0
241,BATMAN BEGINS - DELUXE (DVD),10012121,1,0
242,"BEAUTIFUL CENTURY, THE (DVD)",10011359,1,0
243,DEATH GRIP (DVD),10011360,1,0
244,MST3K: MANOS & SANTA CONQUERS MARTIANS,10011361,1,0
245,LETTERKENNY 3 EP: 1-6 (DVD),10011362,1,0
246,"COMMUNITY PROJECT, THE (SNOWBOARD) (DVD)",10012122,1,0
247,MUPPET BABIES: TIME TO PLAY! (DVD),10012123,1,0
248,PRIDE FIGHTING CHAMP:JAPAN VS GRACIE(DVD,10012124,1,0
249,JUST FOR LAUGHS: UPTOWN COMICS (DVD),10012125,1,0
250,INTO THE BLUE (W/S) (DVD),10011363,1,0
251,FUCK  (DVD),10012126,1,0
252,"THREE STOOGES, THE: 4 EPISODES (DVD)",10011364,1,0
253,TENACIOUS D: COMPLETE MASTER WORKS (DVD),10011365,1,0
254,OT: OUR TOWN (DVD),10011366,1,0
255,AMERICAN HARDCORE: PUNK 1980-86 (DVD),10012127,1,0
256,STOPGAP (NELSON SNOWBOARDING) (DVD),10011367,1,0
257,AS LIFE GOES BY (FRENCH) (DVD),10011368,1,0
258,"LAST CHAPTER, THE DISK 1 (DVD)",10012128,1,0
259,"LAST CHAPTER, THE DISK 3 (DVD)",10011369,1,0
260,"LAST CHAPTER, THE DISK 4 (DVD)",10011370,1,0
261,"LAST CHAPTER, THE DISK 5 (DVD)",10012129,1,0
262,"LAST CHAPTER, THE DISK 6 (DVD)",10011371,1,0
263,ANCHORMAN 2 MC (143 MIN) (BRAY),10011372,1,0
264,ANCHORMAN 2 NC (143 MIN) (BRAY),10011372,1,0
265,SOPRANOS 6 1.1 EP:1-3 (DVD),10011373,1,0
266,ANCHORMAN 2 NC (118 & 122 MIN) (BRAY),10011372,1,0
267,WOMEN ON THE VERGE NERVOUS BREAKDOWN SPA,10011374,1,0
268,COMING SOON (W/S) (DVD),10011375,1,0
269,SOPRANOS 6 1.2 EP:4-6 (DVD),10011373,1,0
270,SHOW ME  (DVD),10011376,1,0
271,HUMAN TRAFFICKING (176 MIN) (DVD),10011377,1,0
272,SOPRANOS 6 1.3 EP:7-9 (DVD),10011373,1,0
273,SEA POWER TO SUPERPOWER (DVD),10011378,1,0
274,HOCKEY ENFORCERS: BLACK & BLUE (DVD),10011379,1,0
275,SOPRANOS 6 1.4 EP:10-12 (DVD),10011373,1,0
276,AEON FLUX - 2006 (DVD) W/S,10011380,1,0
277,APOCALYPSE NOW: REDUX  (W/S),10011381,1,0
278,SOPRANOS 6 2.1 EP:1-2 (DVD),10011373,1,0
279,SOPRANOS 6 2.2 EP:3-4 (DVD),10011373,1,0
280,SHORT FILMS 2006 ACADAMY NOMINEES (DVD),10011382,1,0
281,LITTLE BRITAIN: SE 2 (DVD),10011383,1,0
282,"EZ STREETS, BRILLIANT BUT CANCELLED(DVD)",10012130,1,0
283,"FAST AND THE FURIOUS, THE (W/S) (DVD)",10011384,1,0
284,DISINFORMATION: COMP SERIES (6HRS) (DVD),10012131,1,0
285,PLANET EARTH 1-3 EP 7-9 (BLUE-RAY),10011385,1,0
286,SOPRANOS 6 2.3 EP:5-7 (DVD),10011373,1,0
287,PLANET EARTH 1-4 EP 10-11 (BLUE-RAY),10011385,1,0
288,SOPRANOS 6 2.4 EP:8-9 (DVD),10011373,1,0
289,ANARCHISM IN AMERICA/FREE VOICE LABOR(DV,10011386,1,0
290,CHAPPELLE'S SHOW: BEST OF UNCENSORED(DVD,10011387,1,0
291,WEEDS 1-1 (BLUE-RAY),10011289,1,0
292,"PLANE, THE (FRENCH) (DVD)",10011388,1,0
293,FRANKLIN'S: BIG GAME  (DVD),10011389,1,0
294,"4400, THE: SE 1 COMPLETE (DVD)",10011390,1,0
295,DEMONS  (W/S) (DVD),10011391,1,0
296,"GUNS, GERMS, AND STEEL: NGV (W/S) (DVD)",10011392,1,0
297,CHAPPELLE'S SHOW: LOST EPISODES (DVD),10011387,1,0
298,TAKE THE LEAD  (W/S) (DVD),10011393,1,0
299,VISIONS OF HORROR: 7 SHORTS (102MIN) W/S,10011394,1,0
300,HEART OF DARKNESS: DISCS 1 & 2 OF 3(DVD),10011395,1,0
301,DEPRAVED DEGENERATES: 6FILMS 2DISCS(DVD),10011396,1,0
302,"ULTIMATE FIGHTER 2, THE: DISCS 1&2 (DVD)",10012132,1,0
303,"ULTIMATE FIGHTER 2, THE: DISCS 3&4 (DVD)",10012133,1,0
304,GORE AND MORE! DISC 1&2 (DVD),10011397,1,0
305,TIT QUEENS OF THE PAST VOL. 2 (DVD),10012134,1,0
306,LONG WAY ROUND: DISCS 1 & 2 OF 3 (DVD),10011398,1,0
307,NOAM CHOMSKY: PEER INTO/ABYSS/FUTURE(DVD,10012135,1,0
308,CFL TRADITIONS: ROUGHRIDERS (DVD),10012136,1,0
309,SKI PORN (45MIN) (DVD),10011399,1,0
310,HOUSE ON HAUNTED HILL & THE BAT (DVD),10011400,1,0
311,HITCHCOCK MONTAGE OF MYSTERIES (DVD),10012137,1,0
312,FAMILY GUY: FREAKIN' SWEET COLLECTI(DVD),10012138,1,0
313,2000 MANIACS!: BLOOD TRILOGY (DVD),10011401,1,0
314,SHARK WEEK: DISC 1 (180MIN) (DVD),10011402,1,0
315,CREATURE COMFORTS: MARRY X-MAS EVER(DVD),10011403,1,0
316,SHARK WEEK: DISC 2 (180MIN) (DVD),10011402,1,0
317,DIEGO SAVES CHRISTMAS! (DVD),10011404,1,0
318,SAVAGE SICKOS (6 MOVIES) (DVD),10012139,1,0
319,MENTAL MANIACS (6 MOVIES) (DVD),10012140,1,0
320,LABYRINTH OF DARKNESS (CZECH)(DVD),10011405,1,0
321,PULSE (JAPANESE) (DVD),10011350,1,0
322,HORROR (10 MOVIES) DISC: 1&2 OF 3 (DVD),10012141,1,0
323,LEONARD MILTIN'S ANIMA FAVES NFBC (DVD,10011406,1,0
324,SHARK WEEK: DISC 3 (131MIN) (DVD),10011402,1,0
325,SHARK WEEK: DISC 4 (180MIN) (DVD),10011402,1,0
326,PASSPORT TO EUROPE: FRANCE & ITALY (DVD),10011407,1,0
327,"UP SERIES, THE DISC 1: 7 UP & 7 + 7(DVD)",10011408,1,0
328,"UP SERIES, THE DISC 2: 21 UP (DVD)",10011408,1,0
329,"UP SERIES, THE DISC 3: 28 UP (DVD)",10011408,1,0
330,"UP SERIES, THE DISC 4: 35 UP (DVD)",10011408,1,0
331,"UP SERIES, THE DISC 5: 42 UP (DVD)",10011408,1,0
332,"PASSPORT TO EUROPE:ENG,IRELAND,SCOTLAND",10012142,1,0
333,NOAM CHOMSKY: U.S & WORLD DOMINATION(DVD,10011409,1,0
334,EMMA GOLDMAN: EXEEDINGLY DANGEROUS WOMAN,10012143,1,0
335,I STILL KNOW WHAT YOU DID LAST SUMMERDVD,10012144,1,0
336,LITTLE BRITAIN: SE 3 (DVD),10011410,1,0
337,CITIZEN BLACK (W/S) (DVD),10011411,1,0
338,DISINFO.CON (DVD),10012145,1,0
339,AN INCONVENIENT TRUTH (DVD),10011412,1,0
340,ORIGINS OF THE DA VINCI CODE  (DVD),10011413,1,0
341,EXPORING THE DA VINCI CODE  (DVD),10011414,1,0
342,MAD MIKES MAYHEM (DIRT BIKE) (DVD),10012146,1,0
343,YU-GI-OH! BATTLE CITY DUELS (DVD),10012147,1,0
344,YU-GI-OH! DUEL IDENTITY (DVD),10011415,1,0
345,WONDERS OF AUSTRALIA'S... MOUNTAINS(DVD),10011353,1,0
346,WONDERS OF AUSTRALIA'S...DESERT/WET(DVD),10011416,1,0
347,LITTLE PRINCESS: CASTLE ADVENTURE (DVD),10011417,1,0
348,MANUFACTURING DISSENT: UNCOV MIKE MOORE,10011418,1,0
349,SILENT MOVIE (MEL BROOKS) (DVD),10011419,1,0
350,SHINOBI: LAW OF SHINOBI & RUNAWAY (DVD),10011420,1,0
351,SHINOBI: HIDDEN TECHNIQUES& WAY OUT(DVD),10011421,1,0
352,STEP UP (W/S) (DVD),10011422,1,0
353,HOW THE UNIVERSE WORKS 2 DISC:1 (DVD),10011423,1,0
354,TERROR STORM: 2ND UPDATED EXTENDED (DVD),10011424,1,0
355,BEER LEAGUE DVD,10011425,1,0
356,WORLD OF STUPID: 1 WALES & FRANCE (DVD),10012148,1,0
357,WORLD OF STUPID: 2 BRAZIL & CHINA (DVD),10011426,1,0
358,WORLD OF STUPID: 4 JAPAN & HAWAII (DVD),10012149,1,0
359,WORLD OF STUPID: 5 RUSSIA & BONUS (DVD),10011427,1,0
360,NGV: SCIENCE OF THE BIBLE: DISC 1&2(DVD),10011428,1,0
361,NAPOLEON DISC:1 EP:1-2 (DVD),10011429,1,0
362,NAPOLEON DICS:2&3 EP:3-4 (DVD),10011429,1,0
363,NATURE CONNECTION: D.SUZUKI EP 1-3 (DVD),10011430,1,0
364,NATURE CONNECTION: D.SUZUKI EP 4-6 (DVD),10011430,1,0
365,NATURE CONNECTION: D.SUZUKI EP 7-9 (DVD),10011430,1,0
366,NATURE CONNECTION: D.SUZUKI EP 10-12 DVD,10011430,1,0
367,GULLIVER'S TRAVELS (BLURAY),10012150,1,0
368,SUICIDE KILLERS: PARADISE IS HELL (DVD),10012151,1,0
369,SOLAR ENERGY: SAVED BY THE SUN: NOVA,10011431,1,0
370,AU: A SNOWBOARDING FILM (DVD),10011432,1,0
371,"STORY OF 1, THE: PBS  (DVD)",10012152,1,0
372,PLAYBOY: VIDEO PLAYMATE CALENDAR (DVD),10011433,1,0
373,ROBERT PLANT & THE STRANGE SENSA...(DVD),10011434,1,0
374,GENE AUTRY 4 WESTERN CLASSICS (DVD),10012153,1,0
375,ROY ROGERS (DVD),10012154,1,0
376,SOUP OF THE DAY (DVD),10011435,1,0
377,TED: FUTURE WE WILL CREATE,10011436,1,0
378,"AMERICAN DAD: SE 1, DISK 1, EP 1-4 (DVD)",10011437,1,0
379,"AMERICAN DAD: SE 1, DISK 2, EP 5-8 (DVD)",10011438,1,0
380,"AMERICAN DAD: SE 1, DISK 3, EP 6-10 (DVD",10011438,1,0
381,MOZARTBALLS: MAD ABOUT MOZART (DVD),10011439,1,0
382,RINGU 0 & RASEN (JAPANESE) (W/S) (DVD),10011440,1,0
383,SECRETS OF LOST EMPIRE: PYRMIN & OBELISK,10012155,1,0
384,NOAH'S ARC: SE 1 DISK 1 EP 1-5 (DVD),10011441,1,0
385,NOAH'S ARC: SE 1 DISK 2 EP:6-9 (DVD),10011441,1,0
386,READY-SET-GROW 2 (DVD),10012156,1,0
387,NIGHT AT THE MUSEUM: SPEC. ED (W/S)(DVD),10011442,1,0
388,WAR  (BLU-RAY),10011443,1,0
389,UFC 61: BITTER RIVALS (DVD),10011444,1,0
390,UFC: ULTIMATE KNOCKOUTS 4 (DVD),10011445,1,0
391,ETHICS AND THE WORLD CRISIS (DVD),10012157,1,0
392,"GODS MUST BE CRAZY, THE:1&2 (W/S) (DVD)",10011446,1,0
393,"HITCHER, THE (2006) (W/S) (DVD)",10011447,1,0
394,"HITCHER, THE (2006) (DVD)",10011447,1,0
395,RISE: BLOOD HUNTER  (W/S) (DVD),10011448,1,0
396,HOW TO KNOW GOD (DEEPAK CHOPRA) (DVD),10011449,1,0
397,LOST 3-1 EP 1-5 (BLU-RAY),10011450,1,0
398,"DEAD LIKE ME: SE 1, DISK 1 (W/S) (DVD)",10011451,1,0
399,"DEAD LIKE ME: SE 1, DISK 3 (W/S) (DVD)",10011452,1,0
400,"DEAD LIKE ME: SE 1, DISK 4 (W/S) (DVD)",10011451,1,0
401,"DEAD LIKE ME: SE 2, DISK 1 (W/S) (DVD)",10011451,1,0
402,"DEAD LIKE ME: SE 2, DISK 3 (W/S) (DVD)",10011452,1,0
403,"DEAD LIKE ME: SE 2, DISK 4 (W/S) (DVD)",10012158,1,0
